song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
group16_song1_vocals.mp3,8cce4a458cce4a458cce4a458cce4a6d9cce4aed9cce4aed9cc662ad9de666ac,98c798c7b6d3f653f738e338e92ce92ce93cc928c92ac92ec93cc934c924c938,9ecb9ecb9ecb9ecf9ecb9cc69ecf8cc488c4496448e44964496449646b6c6974,9ce79ce7631863189ce79ce7631863189ce79ce76318631863189ce79ce76318
group16_song4_full.mp3,91e4936781e4b36f81e9b36981e9a2cb81e9a6cb81e926cb81e866da85be66da,83f081e891c8b9c9b829b82dba35be13fe13fe32ce12ee16e616e646e6466c46,91e991c981c981c9c1d9c1d9c1d5c375a363a723a73366327636763666567e36,83e87d5a7c1783e883e87e157c1783e883e87c172a1583e87e577c1781ea83e8
group16_song4_vocals.mp3,9993999a99b39992bbb49994bba49514baa49554baa4955cba9d554d9acd5449,99ca9894999cb9a4b994b114b99a9aa8c259c64bc64be64be663e66366676667,9994999499949bcc9acd9a6d932d93339136b3349324db29536b576b456b454b,c274ca693d8b3d8ac27dc2743d8b3d8bc274c27535963d8b3d82c274c27d3d82
Group22_Song4-music.mp3,83cc78fe83cc78fe83c478fd83e060f585f261d585b2e1d5c5b2e5976030c516,81df80ff807d80fb80fb81b8c7e2ffc0ff08ff40ff007e007e027e237c217c21,8dc58dc585c585c68717b333b32333a3b3ab52ab5aca5aea5aca5aea48586a39,8157a0af7ea87ea2a13780df5ec87ea8a136a13758c95ec85ec8a137a1375ec8
group16_song2_vocals.mp3,87a17ce487a17ce487e17ce487e17ce487e17ce487e16ce787e1688387e06183,87e187c0850e95879983cb8eee1cca38eab2ea70f054f85ef47af45cf41cb861,8de18ce18de18ce18ce18ce18ce1dcf1d8f3d8d1db935b9153935319531b7a1c,83e083e07c1f7c1f83e083e07c1f7c1f83e083e07c1f7c1f7c1f83e083e07c1f
group16_song2_music.mp3,83c57cda83c17cda83c36cda83c36cda83c26adc874263dc955263dc955a63f4,83c183c083c18ac086c0878a93a1f825f83cfc3efc3ef83df83c783f7c3e7c1e,83d183d183509b5699569c5e9f5e9b1e8397a3c1a3c1e2e160e15c7a5c3e5c3e,87d19c7c6a876ac79c7c83c17c2e6a8783d09c78e3c37e0e638395719c386387
group16_song3_music.mp3,a529526ea529526ea529526ea5295a6fa529586fa529586f8529586f853d78ef,83f883f081f883e08ad1af02bf07fc07fe03fc0ffc0ff80f7c0e78177814f814,b52bb52bb52bb52bb56baa544ad44ad44ad44ad44ad44ad44ad44aaa75abb52b,80f48aba7e2b7a2b80f480f47e2b7e2b80f480d47e2b7e2b7f0b81d481d47f0b
group16_song1_music.mp3,98ce6ce498ce6c6498ce6c6498ce6c6498ce6c6498ce6e6498ce6f6498ef6f64,98c798c6cd56e4d2b6d3b693e711e339e339e338e328e338e328e338e12ce130,8cce8cce8cce8cce8cce8cce8cce8cce8cce8cce8cce8cce8cce733173317331,9ce79ce7631863189ce79ce7631863189ce79ce76318631863189ce79ce76318
group16_song4_music.mp3,c0f2d2f3c0f2f2f3c0f2f2d3c0f2f253c0f2f253c0da7251c0da3759829a3719,82f882e0c8e6e8e6fc66fe07bd05bd09b719b711bb19bb19bb1bb3199301cb00,c0e6c0e6c0e6c0c6c0c6c4d6c0d6c2d2c2d2f39bf3bb333b3339333933393f39,81f881f87e077e0781f881f87e077e0781f881f87e077e077e0781f881f87e07
group16_song3_vocals.mp3,aa56a956aa56a956aa56a956aa56a956aa56a952aa56ad52ab56ad52ab56a952,ab49ab52a94aa956a6c5ab4ad832d4a5d4a5d6a5d4a5d4a5d4a5d4b5d4b594a9,aaa5aab5aab5aab5aab5555a555a555a554a554a554a554a554a556aaaaaaaad,80f52b52a35d8cc76b52b6ad4d42d4ea77284d4ad4ed6b1a94ad8ce52b14b2b5
