song,spectrogram hash,mfcc hash,mel spectrogram hash,Chroma_stft hash
Group02_Song1_Music.mp3,b62a9e6ab62a9a2ab42ada2ab42ada6ab42ad26ab42ad0cab42ad9ddb48ad9dd,840a9402b422b4aeacb2e9b8e894cb54cb55db5dd75dc755c747c74587c78547,b62ab62ab62ab62ab62a962a962a966ad672de74de545855495549d549d549d5,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group02_Song1_Vocals.mp3,87838783878387838787978787879787878796278787526b87c75a6a87477a6a,874787878587979a8301a3258645a149e9b8f878f878f8b8f83cf83cf83c78fc,8d878d8785878787875396639663566252625a695ae978ed78e878787878787c,8707870778f878f88707870778f878f88707870778f878f878f88707870778f8
Group02_Song2_Full.mp3,b3659374b36583d2f0d04c9afc9a4c8aecaa48a9cd2a7a2dcc8a7aadcc8a7e45,b2498a44ea92fa92f2d8b074b174b3759175857c852b8fab8f8b4eab4c8b4c8b,b375b374b7d0e59aedaae8abea09680a680a4c8b4caf4eb748964c9a4d2b196d,edabedab12541254edabedab12541254edabedab125412541254edabedab1254
Group02_Song2_Music.mp3,b26d824df06d824df46da2cdf46da6deb46d26d6a4217d9684827d9682827d96,b645a705a569e56de069f068f86af83ada9bda9a9e9286928f92879687958781,b26db66db66db64db64db6c9b6c88680c680c68845b945b24db24db249bb49bb,8000800000000000800080000000000080008000000000000000800080000000
Group02_Song2_Vocals.mp3,936587749375855293d1cd9a85d24dba85f04d2985714d29cd5a6ea9c5527e6d,83d4835493d4939491d5b2459255b325e52aec2aec2aec2bec2bec2aecab7cab,9374977485d08592c5ab8d29a949694b694a6d0b6cab7aa77a96689a792a792f,8733f1dc7a2d787c81d28552787c7a2d91d4871331dc7a2d7a2d85d2878378cc
Group02_Song3_Full.mp3,baa9beb9b2a9953896ac555c94286d5ed42a2a76c5222a67cd4222efcd4232ef,80248028846c847cc424942c9eb8beb9bb99bf99fb9bfbc3fbd3694769476146,b2bdb2bc963c963896a8d4aad4aad52ad5aa55c260c369576957495769476946,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group02_Song3_Music.mp3,b2a9376ab2a9376a92a9366a96a8366c96aa36ed942a32add52a3aadd5521aac,922882289428842b842b8e7f966fb2e6b2f5f295eb95e9d5e954c956cd56c956,b2a9b2a9b2a996a996a996a896a9942cb6ad556675654d564d564d5669564d56,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group02_Song3_Vocals.mp3,bab9ba89b2b99798963c555e953c655ed4186d52c5186d43ed1a2363e91a22e3,d8189418953c853cd794d4b5deb1aef9abc3ab43aa43aa43a2c3e3c761c76147,b23c963c961cd618de98f48ad48ad58a558a728b6acb6ac368c769c769e728e3,d052d0522fad2fadd052d0522fad2fadd052d0522fad2fad2fadd052d0522fad
Group02_Song4_Full.mp3,a4e4a4c4b4e5a0e4b4e5d0ed90e5d04b98efd94b98cf4b4ad8db4b1ac89b6b1a,800c80198499b0c994c1946695e6a3c4af66eb36e936ef36ff265f3a6f1b5a39,a4e5a4e5a4e590ed90cad14ad94ad94ad94ad95b6b5b6b136ab16a317f227720,ca4aca4a35b535b5ca4aca4a35b535b5ca4aca4a35b535b535b5ca4aca4a35b5
Group02_Song4_Music.mp3,9cd3a51c9cd3a51c9cd3a51c9cd3e41c9cd3e41c9cd3e60d9cd3e20d9cd3620d,8c008c0a940b850ead1cad8cb7e4f3f5f2f1daf1d3f2c272c352d2f2dbe0c3aa,a5dca5dca5dca5dca5fda5fda5f5adf5adf5ad35ad308a204a205a205a205202,800080007fff7fff800080007fff7fff800080007fff7fff7fff800080007fff
Group02_Song4_Vocals.mp3,a4e4a4e6a4e5b4e4b4e590e590e5d06b90cdd94bd85fd95ad85f481ac85f681e,905e905c809c80d196c1966395e0b7c0ef26eb36e92eef26ef22ed2a6f3b6239,a4e5a4e5b0e590edd0cad14ad14ad94ad94a595b6b5b6b136ab16ab17f227720,d950d95026af26afd950d95026af26afd950d95026af26af26afd950d95026af
Group03_Song01_Full.mp3,8239c23d82b9c49d9097e4c7b09664c6a4866f46a5646f67e4676d63e4635be3,80398015809490968094ec938251db58d398daebc27f6f797f4a7fe27fe27f62,809580958097a4b7e46fee6bdf49df69fe697668666076607d027d827d027f00,a497a4975b685b68a497a4975b685b68a497a4975b685b685b68a497a4975b68
